name;image;description;positions;known_for;Reparto;Producción;Guion;Banda sonora;Guion y continuidad;Composición;sonido de archivo;Música;Como sí mismos;Agradecimientos;metraje de archivo;IMDbPro;Dirección;Dirección o asistencia de la segunda unidad;Equipos adicionales
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;El lado bueno de las cosas;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;Dolores Solitano;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;Animal Kingdom;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;Janine 'Smurf' Cody;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;Stoker;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;Gwendolyn Stoker;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;The Disaster Artist;95;;;5;;;;;55;1;6;;;;
Jacki Weaver;https://m.media-amazon.com/images/M/MV5BNDYyOTg4NjkxN15BMl5BanBnXkFtZTcwMjA4NDU5OA@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Jacki Weaver nació el 25 de mayo de 1947 en Sydney, Nueva Gales del Sur, Australia. Es una actriz, conocida por El lado bueno de las cosas (2012), Animal Kingdom (2010) y Stoker (2013). Está casada con Sean Taylor. Ha estado casada con Derryn Hinch, Max Hensser y David Price.;Reparto;Carolyn'Claudette';95;;;5;;;;;55;1;6;;;;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;Sácame del paraíso;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;Rick Gergenblatt;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;The State;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;Serie de TV;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;1993–1995 • 27 episodios;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;4,9;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;2007;149;7;9;6;1;;;;42;3;2;;11;1;
Ken Marino;https://m.media-amazon.com/images/M/MV5BMGQ4M2MyZWItMGZhNS00NjVjLWI5ODUtZjVjZWRkZDY3NDc4XkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_QL75_UY133_CR7,0,90,133_.jpg;Ken Marino nació el 19 de diciembre de 1968 en Long Island, Nueva York, Estados Unidos. Es un actor y productor, conocido por Sácame del paraíso (2012), The State (1993) y Los diez locos mandamientos (2007). Está casado con Erica Oyama desde el 8 de octubre de 2005. Tienen dos niños.;Reparto;7,8;149;7;9;6;1;;;;42;3;2;;11;1;
