name;image;description;positions;known_for;Producción;Equipos adicionales;Dirección;Banda sonora;Guion;Reparto;Música;Como sí mismos;Agradecimientos;IMDbPro;Animación;Arte;Sonido;Cámara y electricidad;metraje de archivo;Vestuario;Diseño de vestuario;Dirección o asistencia de la segunda unidad;Composición;sonido de archivo;Edición;Dirección de fotografía y cámara
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;5,7;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Guion;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;2022;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Historia de un matrimonio;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;7,9;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Guion;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;2019;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Frances Ha;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;7,4;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Guion;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
